"","x"
"1","BT10a1"
"2","BT8a1"
"3","BT8a2"
"4","BT9c1"
"5","BT9c2"
"6","BW10af"
"7","BW11a1"
"8","BW11a2"
"9","BW11b1"
"10","BW11cf"
"11","BW19cf"
"12","BW19d2"
"13","BW19df"
"14","BW20bf"
"15","BW23a1"
"16","BW24bm"
"17","BW26a2"
"18","BW27af"
"19","BW31am"
"20","BW32am"
"21","BW32bf"
"22","BW3am"
"23","BW9af"
"24","Cu10a1"
"25","Cu11a1"
"26","Cu12a1"
"27","Cu1a"
"28","Cu2a1"
"29","Cu3a1"
"30","Cu4a1"
"31","Cu5d1"
"32","Cu6a1"
"33","Cu7a1"
"34","Cu8a1"
"35","Cu9a1"
"36","Da11a2"
"37","Da11af"
"38","Da14af"
"39","Da15a2"
"40","Da15af"
"41","Da17af"
"42","Da18af"
"43","Da19a1"
"44","Da19af"
"45","Da1a2"
"46","Da1af"
"47","Da20af"
"48","Da24a1"
"49","Da29a1"
"50","Da2a1"
"51","Da3af"
"52","Da4a1"
"53","Da4af"
"54","Da7b1"
"55","Da7b2"
"56","Da9a1"
"57","Da9af"
"58","MF13a1"
"59","MF13af"
"60","MF13am"
"61","MF15a1"
"62","MF15am"
"63","MF15bf"
"64","MF16a2"
"65","MF16af"
"66","MF17am"
"67","MF2a2"
"68","MF2af"
"69","MF2am"
"70","MF2b1"
"71","MF2bf"
"72","MF5bf"
"73","MF6b1"
"74","MF6bf"
"75","MF6c1"
"76","MF6cf"
"77","MF6cm"
"78","MF9a2"
"79","MF9am"
"80","MW10a1"
"81","MW12a1"
"82","MW12bm"
"83","MW2af"
"84","MW3a2"
"85","MW3am"
"86","MW3bf"
"87","MW3d1"
"88","MW3d2"
"89","MW4a1"
"90","MW4am"
"91","MW5a1"
"92","MW5am"
"93","MW5bm"
"94","MW8a1"
"95","MW9a1"
"96","MW9c1"
"97","MW9cm"
"98","Ol12a1"
"99","Ol12cf"
"100","Ol12dm"
"101","Ol12ef"
"102","Ol12em"
"103","Ol13am"
"104","Ol14a1"
"105","Ol15a1"
"106","Ol18a2"
"107","Ol1cf"
"108","Ol20bm"
"109","Ol21a2"
"110","Ol23a1"
"111","Ol4a1"
"112","Ol4bf"
"113","Ol4bm"
"114","Ol5a1"
"115","Ol5am"
"116","Ol6af"
"117","Te3a1"
"118","Te3am"
"119","Te3b1"
"120","Te3bf"
"121","Te3c1"
"122","Te3cf"
"123","Te4a2"
"124","Te4am"
"125","Te5am"
"126","Te6a2"
"127","Te6af"
"128","Te7a2"
"129","Te7am"
"130","Te7b2"
"131","Te7bf"
"132","Te9a2"
"133","Te9af"
"134","Te9am"
"135","Te9b1"
"136","Te9bm"
