"","Dorrigo","Kerewong","Barrington","Olney","Cumberland","MtWilson","MaresForest","Termeil","Dampier","Broadwater"
"Dorrigo",NA,0.015687,0.503889,1.037271,1.003872,1.000135,1.033858,0.979598,0.960005,0.997104
"Kerewong",0.364356726638203,NA,0.516996,1.070852,1.036872,1.032834,1.068155,1.01522,0.987892,1.027738
"Barrington",0.806489314077092,0.766525813239464,NA,0.06786,0.064985,0.068545,0.080962,0.185791,0.190735,0.208754
"Olney",0.944900517068533,0.941478276087019,0.308973789962805,NA,0.016659,0.015224,0.027274,0.168368,0.178165,0.193765
"Cumberland",0.948561715347097,0.94595639060908,0.241683362825779,0.211849445746621,NA,0.008583,0.017791,0.152424,0.163263,0.176811
"MtWilson",0.951126536645919,0.949504841261815,0.323661457163612,0.219778204674138,0.125427010074462,NA,0.0141,0.15565,0.165659,0.180326
"MaresForest",0.950507313759555,0.94882975833379,0.392608813696173,0.348583481713224,0.257495024544502,0.232632273128076,NA,0.169392,0.180242,0.195283
"Termeil",0.944493505397512,0.941991179339656,0.556277053367352,0.745805214738803,0.731276419336455,0.753925059257067,0.769412227579969,NA,0.015874,0.055205
"Dampier",0.937000922362617,0.93302238053161,0.556537675411453,0.738297624406609,0.721304676087978,0.744522906573642,0.761661456382715,0.2037281299711,NA,0.05803
"Broadwater",0.960578709537755,0.961370702613738,0.614671954822475,0.814894038350396,0.8170764939471,0.829862290217433,0.834953454918335,0.575769689117816,0.55554978826266,NA
